Date,^GSPC,MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,META,NVDA,BRK-B,JPM
2022-03-29,4631.60009765625,313.1281433105469,178.15403747558594,169.31500244140625,142.5054931640625,366.5233459472656,143.25,229.86000061035156,286.4143371582031,355.1199951171875,137.68060302734375
2022-03-30,4602.4501953125,311.5893249511719,176.9694061279297,166.30099487304688,141.93850708007812,364.663330078125,142.64450073242188,227.85000610351562,276.7592468261719,357.6099853515625,137.0564727783203
2022-03-31,4530.41015625,306.0794677734375,173.82363891601562,162.99749755859375,139.0675048828125,359.20001220703125,139.64950561523438,222.36000061035156,272.7212829589844,352.9100036621094,132.94110107421875
2022-04-01,4545.85986328125,307.18145751953125,173.5249786376953,163.55999755859375,140.15049743652344,361.5299987792969,140.6999969482422,224.85000610351562,266.9842224121094,351.8800048828125,131.9561309814453
2022-04-04,4582.64013671875,312.6912841796875,177.63638305664062,168.34649658203125,142.97149658203125,381.8166809082031,143.6425018310547,233.88999938964844,273.4609375,345.42999267578125,132.541259765625
2022-04-05,4525.1201171875,308.63092041015625,174.2716064453125,164.05499267578125,140.59100341796875,363.7533264160156,141.06300354003906,231.83999633789062,259.1781921386719,344.79998779296875,130.9988250732422
2022-04-06,4481.14990234375,297.33319091796875,171.05616760253906,158.75599670410156,136.54800415039062,348.586669921875,137.17599487304688,223.3000030517578,243.9459228515625,344.7099914550781,129.1813201904297
2022-04-07,4500.2099609375,299.189697265625,171.36474609375,157.7845001220703,135.8885040283203,352.4200134277344,136.46499633789062,222.9499969482422,241.95693969726562,346.510009765625,128.78831481933594
2022-04-08,4488.27978515625,294.821533203125,169.32398986816406,154.4604949951172,133.28750610351562,341.8299865722656,134.010498046875,222.3300018310547,231.07247924804688,353.1000061035156,131.1461944580078
2022-04-11,4412.52978515625,283.1962890625,165.0035400390625,151.1219940185547,128.82350158691406,325.30999755859375,129.79649353027344,216.4600067138672,219.05857849121094,352.0199890136719,130.664794921875
2022-04-12,4397.4501953125,280.0194091796875,166.90493774414062,150.78750610351562,127.7145004272461,328.98333740234375,128.37449645996094,214.13999938964844,214.9306640625,349.739990234375,129.2304229736328
2022-04-13,4446.58984375,285.5391845703125,169.63258361816406,155.54100036621094,129.8939971923828,340.7900085449219,130.28599548339844,214.99000549316406,221.9171142578125,346.2200012207031,125.06488037109375
2022-04-14,4392.58984375,277.8055114746094,164.54559326171875,151.7064971923828,126.7300033569336,328.3333435058594,127.25299835205078,210.17999267578125,212.471923828125,344.3299865722656,123.90559387207031
2022-04-18,4391.68994140625,278.4905090332031,164.32659912109375,152.78500366210938,127.67649841308594,334.7633361816406,127.96099853515625,210.77000427246094,217.71926879882812,346.6499938964844,126.20450592041016
2022-04-19,4462.2099609375,283.2359619140625,166.64608764648438,158.11549377441406,130.00900268554688,342.7166748046875,130.531005859375,217.30999755859375,221.8671417236328,348.5,128.8177947998047
2022-04-20,4459.4501953125,284.2882995605469,166.4768524169922,153.9980010986328,128.0399932861328,325.73333740234375,128.24549865722656,200.4199981689453,214.71080017089844,348.82000732421875,129.26971435546875
2022-04-21,4393.66015625,278.7784118652344,165.67050170898438,148.29600524902344,124.81449890136719,336.260009765625,124.9375,188.07000732421875,201.72740173339844,343.6000061035156,128.2676239013672
2022-04-22,4271.77978515625,272.0474853515625,161.0613555908203,144.35000610351562,119.635498046875,335.01666259765625,119.61399841308594,184.11000061035156,195.05079650878906,335.55999755859375,124.5834732055664
2022-04-25,4296.1201171875,278.6890869140625,162.14645385742188,146.07400512695312,123.0739974975586,332.67333984375,123.25,186.99000549316406,198.9188232421875,336.95001220703125,124.54418182373047
2022-04-26,4175.2001953125,268.2650451660156,156.09384155273438,139.39100646972656,118.6500015258789,292.1400146484375,119.50599670410156,180.9499969482422,187.78448486328125,330.6499938964844,120.86001586914062
2022-04-27,4183.9599609375,281.1710205078125,155.86488342285156,138.16700744628906,114.29450225830078,293.836669921875,115.02050018310547,174.9499969482422,184.05638122558594,329.5799865722656,119.2881088256836
2022-04-28,4287.5,287.5346374511719,162.9030303955078,144.59649658203125,118.52249908447266,292.5033264160156,119.4114990234375,205.72999572753906,197.71945190429688,331.2699890136719,121.17439270019531
2022-04-29,4131.93017578125,275.5122375488281,156.94000244140625,124.28150177001953,114.1094970703125,290.2533264160156,114.96649932861328,200.47000122070312,185.37571716308594,322.8299865722656,117.2642822265625
2022-05-02,4155.3798828125,282.4119567871094,157.2486114501953,124.5,116.58300018310547,300.9800109863281,117.15699768066406,211.1300048828125,195.23069763183594,318.19000244140625,118.33513641357422
2022-05-03,4175.47998046875,279.7414245605469,158.7617645263672,124.25350189208984,117.33399963378906,303.0833435058594,118.12950134277344,212.02999877929688,195.9203643798828,318.989990234375,120.8698501586914
2022-05-04,4300.169921875,287.8821105957031,165.27232360839844,125.92849731445312,122.26100158691406,317.5400085449219,122.57499694824219,223.41000366210938,203.2366180419922,326.79998779296875,124.8683853149414
2022-05-05,4146.8701171875,275.3434753417969,156.06398010253906,116.40699768066406,116.50550079345703,291.09332275390625,116.74649810791016,208.27999877929688,188.34420776367188,318.67999267578125,121.74421691894531
